Case_ID,Player_ID,Activity,Timestamp,Category,Question_Value,Answer_Given,Result,Score_After_Play
"GAME5","P3-8bec7b","Select Player Turn","2025-11-27T12:05:51.449231700Z",,,,,-200
"GAME5","P3-8bec7b","Select Category","2025-11-27T12:05:56.704197100Z","Control Structures",,,,-200
"GAME5","P3-8bec7b","Select Question","2025-11-27T12:05:59.232484Z","Control Structures",400,,,-200
"GAME5","P3-8bec7b","Answer Question","2025-11-27T12:06:01.882503800Z","Control Structures",400,"b","Incorrect",-600
"GAME5","P3-8bec7b","Score Updated","2025-11-27T12:06:01.882503800Z",,,,,-600
"GAME5","P1-8c05f7","Select Player Turn","2025-11-27T12:06:01.882503800Z",,,,,-600
"GAME5","P1-8c05f7","Select Category","2025-11-27T12:06:07.243300Z","Variables & Data Types",,,,-600
"GAME5","P1-8c05f7","Select Question","2025-11-27T12:06:10.567692Z","Variables & Data Types",400,,,-600
"GAME5","P1-8c05f7","Answer Question","2025-11-27T12:06:15.309527200Z","Variables & Data Types",400,"b","Correct",-200
"GAME5","P1-8c05f7","Score Updated","2025-11-27T12:06:15.310546300Z",,,,,-200
"GAME5","P2-743707","Select Player Turn","2025-11-27T12:06:15.310546300Z",,,,,-100
"GAME5","P2-743707","Select Category","2025-11-27T12:06:18.471286300Z","Control Structures",,,,-100
"GAME5","P2-743707","Select Question","2025-11-27T12:06:21.127220400Z","Control Structures",500,,,-100
"GAME5","P2-743707","Answer Question","2025-11-27T12:06:29.509468Z","Control Structures",500,"3","Correct",400
"GAME5","P2-743707","Score Updated","2025-11-27T12:06:29.509468Z",,,,,400
"GAME5","P3-8bec7b","Select Player Turn","2025-11-27T12:06:29.510503900Z",,,,,-600
"GAME5",,"Exit Game","2025-11-27T12:06:38.621185700Z",,,,,
"GAME6",,"Start Game","2025-11-27T12:07:26.929679Z",,,,,
"GAME6",,"Load File","2025-11-27T12:07:26.933436Z","sample_game_JSON.json",,,,
"GAME6",,"File Loaded Successfully","2025-11-27T12:07:27.121042900Z","sample_game_JSON.json",,,"Success",
"GAME6",,"Select Player Count","2025-11-27T12:07:28.948234600Z",,,,"2",
"GAME6","P1-079fdb","Enter Player Name","2025-11-27T12:07:30.611590900Z",,,"tom",,0
"GAME6","P2-32d192","Enter Player Name","2025-11-27T12:07:32.764241500Z",,,"harry",,0
"GAME6",,"Generate Event Log","2025-11-27T12:07:32.764241500Z","game_summary.txt",,"Header Written",,
"GAME6","P1-079fdb","Select Player Turn","2025-11-27T12:07:32.767269300Z",,,,,0
"GAME6","P1-079fdb","Select Category","2025-11-27T12:07:35.194301100Z","Control Structures",,,,0
"GAME6","P1-079fdb","Select Question","2025-11-27T12:07:37.776684200Z","Control Structures",100,,,0
"GAME6","P1-079fdb","Answer Question","2025-11-27T12:07:39.244866100Z","Control Structures",100,"a","Correct",100
"GAME6","P1-079fdb","Score Updated","2025-11-27T12:07:39.244866100Z",,,,,100
"GAME6","P2-32d192","Select Player Turn","2025-11-27T12:07:39.250400200Z",,,,,0
"GAME6","P2-32d192","Select Category","2025-11-27T12:07:41.164218400Z","Functions",,,,0
"GAME6","P2-32d192","Select Question","2025-11-27T12:07:43.066085Z","Functions",200,,,0
"GAME6","P2-32d192","Answer Question","2025-11-27T12:07:45.034394Z","Functions",200,"d","Incorrect",-200
"GAME6","P2-32d192","Score Updated","2025-11-27T12:07:45.034394Z",,,,,-200
"GAME6","P1-079fdb","Select Player Turn","2025-11-27T12:07:45.036439900Z",,,,,100
"GAME6","P1-079fdb","Select Category","2025-11-27T12:07:46.704345400Z","Arrays",,,,100
"GAME6","P1-079fdb","Select Question","2025-11-27T12:07:48.459953400Z","Arrays",200,,,100
"GAME6","P1-079fdb","Answer Question","2025-11-27T12:07:50.815236200Z","Arrays",200,"a","Incorrect",-100
"GAME6","P1-079fdb","Score Updated","2025-11-27T12:07:50.815236200Z",,,,,-100
"GAME6","P2-32d192","Select Player Turn","2025-11-27T12:07:50.815236200Z",,,,,-200
"GAME6",,"Exit Game","2025-11-27T12:07:58.993037Z",,,,,
"GAME7",,"Start Game","2025-11-27T12:08:30.395005400Z",,,,,
"GAME7",,"Load File","2025-11-27T12:08:30.398656700Z","sample_game_XML.xml",,,,
"GAME7",,"File Loaded Successfully","2025-11-27T12:08:30.437826900Z","sample_game_XML.xml",,,"Success",
"GAME7",,"Select Player Count","2025-11-27T12:08:32.347131900Z",,,,"4",
"GAME7","P1-0d894a","Enter Player Name","2025-11-27T12:08:38.358024700Z",,,"Randy",,0
"GAME7","P2-9b29d7","Enter Player Name","2025-11-27T12:08:41.710135100Z",,,"Pim",,0
"GAME7","P3-81eb58","Enter Player Name","2025-11-27T12:08:47.736939900Z",,,"Garret",,0
"GAME7","P4-5a1b9d","Enter Player Name","2025-11-27T12:08:50.076581500Z",,,"Jade",,0
"GAME7",,"Generate Event Log","2025-11-27T12:08:50.078092500Z","game_summary.txt",,"Header Written",,
"GAME7","P1-0d894a","Select Player Turn","2025-11-27T12:08:50.080117Z",,,,,0
"GAME7","P1-0d894a","Select Category","2025-11-27T12:08:52.227833500Z","Control Structures",,,,0
"GAME7","P1-0d894a","Select Question","2025-11-27T12:08:53.356515Z","Control Structures",100,,,0
"GAME7","P1-0d894a","Answer Question","2025-11-27T12:08:55.451253200Z","Control Structures",100,"c","Incorrect",-100
"GAME7","P1-0d894a","Score Updated","2025-11-27T12:08:55.451253200Z",,,,,-100
"GAME7","P2-9b29d7","Select Player Turn","2025-11-27T12:08:55.457944200Z",,,,,0
"GAME7","P2-9b29d7","Select Category","2025-11-27T12:08:57.735085400Z","Control Structures",,,,0
"GAME7","P2-9b29d7","Select Question","2025-11-27T12:08:59.844917800Z","Control Structures",500,,,0
"GAME7","P2-9b29d7","Answer Question","2025-11-27T12:09:03.208493200Z","Control Structures",500,"b","Correct",500
"GAME7","P2-9b29d7","Score Updated","2025-11-27T12:09:03.208493200Z",,,,,500
"GAME7","P3-81eb58","Select Player Turn","2025-11-27T12:09:03.209494600Z",,,,,0
